model_name,gpu,batch_size,seq_len,mean_ms,std_ms,p50_ms,p95_ms,n_runs,noisy,peak_memory_mb,actual_gpu_name,actual_mem_gb,actual_sm_count,attn_impl,platform,cuda_version,driver_version,torch_version,timestamp
gpt2-small,a10,1,32,8.15969310760498,0.09717166719102102,8.144895553588867,8.236031532287598,100,False,287.28064,NVIDIA A10G,23.68,80,eager,modal,13.0,580.95.05,2.11.0+cu130,2026-04-17T21:19:25+00:00
gpt2-small,a10,1,64,7.970294075012207,0.08328314658152731,7.9585280418396,8.029184341430664,100,False,295.794688,NVIDIA A10G,23.68,80,eager,modal,13.0,580.95.05,2.11.0+cu130,2026-04-17T21:19:40+00:00
gpt2-small,a10,1,128,7.974082870483398,0.04790340906425825,7.964672088623047,8.047616004943848,100,False,305.865216,NVIDIA A10G,23.68,80,eager,modal,13.0,580.95.05,2.11.0+cu130,2026-04-17T21:19:42+00:00
gpt2-small,a10,1,256,7.950356774330139,0.05225976931477497,7.935999870300293,8.029184341430664,100,False,326.923776,NVIDIA A10G,23.68,80,eager,modal,13.0,580.95.05,2.11.0+cu130,2026-04-17T21:19:43+00:00
gpt2-small,a10,1,512,7.983383350372314,0.10920772625481016,7.9626240730285645,8.066047668457031,100,False,367.2064,NVIDIA A10G,23.68,80,eager,modal,13.0,580.95.05,2.11.0+cu130,2026-04-17T21:19:45+00:00
gpt2-small,a10,1,1024,15.696425619125366,0.025559424578530138,15.69484806060791,15.71020793914795,100,False,446.854144,NVIDIA A10G,23.68,80,eager,modal,13.0,580.95.05,2.11.0+cu130,2026-04-17T21:19:47+00:00
gpt2-small,a10,2,32,8.352492475509644,0.06263347664289706,8.337408065795898,8.437760353088379,100,False,295.794688,NVIDIA A10G,23.68,80,eager,modal,13.0,580.95.05,2.11.0+cu130,2026-04-17T21:19:50+00:00
gpt2-small,a10,2,64,8.352512016296387,0.03866716795847135,8.346624374389648,8.400896072387695,100,False,305.865216,NVIDIA A10G,23.68,80,eager,modal,13.0,580.95.05,2.11.0+cu130,2026-04-17T21:19:52+00:00
gpt2-small,a10,2,128,8.371640977859498,0.05911311051010269,8.356863975524902,8.459263801574707,100,False,326.923776,NVIDIA A10G,23.68,80,eager,modal,13.0,580.95.05,2.11.0+cu130,2026-04-17T21:19:54+00:00
gpt2-small,a10,2,256,8.421816339492798,0.09640961274250595,8.409088134765625,8.469504356384277,100,False,367.2064,NVIDIA A10G,23.68,80,eager,modal,13.0,580.95.05,2.11.0+cu130,2026-04-17T21:19:56+00:00
gpt2-small,a10,2,512,13.079275541305542,0.02627507338988028,13.0764799118042,13.088768005371094,100,False,446.854144,NVIDIA A10G,23.68,80,eager,modal,13.0,580.95.05,2.11.0+cu130,2026-04-17T21:19:57+00:00
gpt2-small,a10,2,1024,30.32138952255249,0.033664432046953185,30.318592071533203,30.337024688720703,100,False,607.98464,NVIDIA A10G,23.68,80,eager,modal,13.0,580.95.05,2.11.0+cu130,2026-04-17T21:20:00+00:00
gpt2-small,a10,3,32,8.482631988525391,0.05130944901638182,8.471551895141602,8.588288307189941,100,False,301.797376,NVIDIA A10G,23.68,80,eager,modal,13.0,580.95.05,2.11.0+cu130,2026-04-17T21:20:05+00:00
gpt2-small,a10,3,64,8.169800329208375,0.05430342532191045,8.158207893371582,8.247296333312988,100,False,315.935744,NVIDIA A10G,23.68,80,eager,modal,13.0,580.95.05,2.11.0+cu130,2026-04-17T21:20:07+00:00
gpt2-small,a10,3,128,8.304374389648437,0.07383071082061318,8.293375968933105,8.358912467956543,100,False,347.327488,NVIDIA A10G,23.68,80,eager,modal,13.0,580.95.05,2.11.0+cu130,2026-04-17T21:20:09+00:00
gpt2-small,a10,3,256,8.346695976257324,0.15218551009609382,8.327168464660645,8.376319885253906,100,False,406.57152,NVIDIA A10G,23.68,80,eager,modal,13.0,580.95.05,2.11.0+cu130,2026-04-17T21:20:11+00:00
gpt2-small,a10,3,512,18.51626787185669,0.022596953499047116,18.514944076538086,18.528255462646484,100,False,528.219136,NVIDIA A10G,23.68,80,eager,modal,13.0,580.95.05,2.11.0+cu130,2026-04-17T21:20:13+00:00
gpt2-small,a10,3,1024,43.68628849029541,0.03482324546833029,43.68281555175781,43.7309455871582,100,False,769.115136,NVIDIA A10G,23.68,80,eager,modal,13.0,580.95.05,2.11.0+cu130,2026-04-17T21:20:16+00:00
gpt2-small,a10,4,32,8.393781108856201,0.028982696424155505,8.391679763793945,8.417280197143555,100,False,305.865216,NVIDIA A10G,23.68,80,eager,modal,13.0,580.95.05,2.11.0+cu130,2026-04-17T21:20:23+00:00
gpt2-small,a10,4,64,8.35121187210083,0.04661477438999543,8.346624374389648,8.381440162658691,100,False,326.923776,NVIDIA A10G,23.68,80,eager,modal,13.0,580.95.05,2.11.0+cu130,2026-04-17T21:20:25+00:00
