model_name,gpu,batch_size,seq_len,mean_ms,std_ms,p50_ms,p95_ms,n_runs,noisy,peak_memory_mb,actual_gpu_name,actual_mem_gb,actual_sm_count,attn_impl,platform,cuda_version,driver_version,torch_version,timestamp
gpt2-small,b200,1,32,3.899099187850952,0.09282197988162104,3.882431983947754,4.013023853302002,100,False,287.28064,NVIDIA B200,191.5,148,eager,modal,13.0,580.95.05,2.11.0+cu130,2026-04-17T21:20:25+00:00
gpt2-small,b200,1,64,3.943826870918274,0.07872479658053466,3.935551881790161,4.000160217285156,100,False,295.794688,NVIDIA B200,191.5,148,eager,modal,13.0,580.95.05,2.11.0+cu130,2026-04-17T21:20:45+00:00
gpt2-small,b200,1,128,3.889016959667206,0.03731600952163714,3.883392095565796,3.9550719261169434,100,False,305.057792,NVIDIA B200,191.5,148,eager,modal,13.0,580.95.05,2.11.0+cu130,2026-04-17T21:20:47+00:00
gpt2-small,b200,1,256,3.9363955068588257,0.04562614848404787,3.9223361015319824,4.012608051300049,100,False,326.006272,NVIDIA B200,191.5,148,eager,modal,13.0,580.95.05,2.11.0+cu130,2026-04-17T21:20:48+00:00
gpt2-small,b200,1,512,3.922657606601715,0.05722890728412533,3.9147839546203613,3.9895360469818115,100,False,366.288896,NVIDIA B200,191.5,148,eager,modal,13.0,580.95.05,2.11.0+cu130,2026-04-17T21:20:49+00:00
gpt2-small,b200,1,1024,3.864804482460022,0.08689933066827728,3.8515520095825195,3.97542405128479,100,False,445.805568,NVIDIA B200,191.5,148,eager,modal,13.0,580.95.05,2.11.0+cu130,2026-04-17T21:20:50+00:00
gpt2-small,b200,2,32,4.130920643806458,0.04016632446466723,4.131999969482422,4.198624134063721,100,False,293.95968,NVIDIA B200,191.5,148,eager,modal,13.0,580.95.05,2.11.0+cu130,2026-04-17T21:20:51+00:00
gpt2-small,b200,2,64,4.139957141876221,0.05758469854864573,4.1333441734313965,4.211872100830078,100,False,305.057792,NVIDIA B200,191.5,148,eager,modal,13.0,580.95.05,2.11.0+cu130,2026-04-17T21:20:53+00:00
gpt2-small,b200,2,128,4.083420495986939,0.04349724654547724,4.070623874664307,4.159872055053711,100,False,326.006272,NVIDIA B200,191.5,148,eager,modal,13.0,580.95.05,2.11.0+cu130,2026-04-17T21:20:54+00:00
gpt2-small,b200,2,256,4.094277453422547,0.05217711670981518,4.09276819229126,4.164735794067383,100,False,366.288896,NVIDIA B200,191.5,148,eager,modal,13.0,580.95.05,2.11.0+cu130,2026-04-17T21:20:55+00:00
gpt2-small,b200,2,512,4.284845099449158,0.269321166914134,4.160799980163574,4.913343906402588,100,True,445.805568,NVIDIA B200,191.5,148,eager,modal,13.0,580.95.05,2.11.0+cu130,2026-04-17T21:20:56+00:00
gpt2-small,b200,2,1024,5.3963570976257325,0.04131167962909529,5.391744136810303,5.4007039070129395,100,False,606.149632,NVIDIA B200,191.5,148,eager,modal,13.0,580.95.05,2.11.0+cu130,2026-04-17T21:20:58+00:00
gpt2-small,b200,3,32,4.164644150733948,0.05139674255751453,4.158815860748291,4.2327680587768555,100,False,298.9952,NVIDIA B200,191.5,148,eager,modal,13.0,580.95.05,2.11.0+cu130,2026-04-17T21:21:00+00:00
gpt2-small,b200,3,64,4.129449620246887,0.05246319609580615,4.119904041290283,4.195744037628174,100,False,314.100736,NVIDIA B200,191.5,148,eager,modal,13.0,580.95.05,2.11.0+cu130,2026-04-17T21:21:01+00:00
gpt2-small,b200,3,128,4.07943231344223,0.04593582667897597,4.0768961906433105,4.137279987335205,100,False,345.49248,NVIDIA B200,191.5,148,eager,modal,13.0,580.95.05,2.11.0+cu130,2026-04-17T21:21:02+00:00
gpt2-small,b200,3,256,4.081760334968567,0.05749873718664779,4.081024169921875,4.131199836730957,100,False,404.736512,NVIDIA B200,191.5,148,eager,modal,13.0,580.95.05,2.11.0+cu130,2026-04-17T21:21:03+00:00
gpt2-small,b200,3,512,4.179466872215271,0.1548332267398191,4.154719829559326,4.252096176147461,100,False,526.384128,NVIDIA B200,191.5,148,eager,modal,13.0,580.95.05,2.11.0+cu130,2026-04-17T21:21:05+00:00
gpt2-small,b200,3,1024,7.722335042953492,0.02163183073711798,7.720223903656006,7.731872081756592,100,False,767.280128,NVIDIA B200,191.5,148,eager,modal,13.0,580.95.05,2.11.0+cu130,2026-04-17T21:21:06+00:00
gpt2-small,b200,4,32,4.067306230068207,0.046406628140473735,4.06063985824585,4.137951850891113,100,False,305.057792,NVIDIA B200,191.5,148,eager,modal,13.0,580.95.05,2.11.0+cu130,2026-04-17T21:21:07+00:00
gpt2-small,b200,4,64,4.011773107051849,0.03934701632241348,4.007936000823975,4.080992221832275,100,False,326.006272,NVIDIA B200,191.5,148,eager,modal,13.0,580.95.05,2.11.0+cu130,2026-04-17T21:21:09+00:00
gpt2-small,b200,4,128,4.036440970897675,0.06142479115741025,4.027167797088623,4.127776145935059,100,False,366.288896,NVIDIA B200,191.5,148,eager,modal,13.0,580.95.05,2.11.0+cu130,2026-04-17T21:21:11+00:00
gpt2-small,b200,4,256,4.149675517082215,0.07508686929890407,4.140448093414307,4.219552040100098,100,False,445.805568,NVIDIA B200,191.5,148,eager,modal,13.0,580.95.05,2.11.0+cu130,2026-04-17T21:21:12+00:00
gpt2-small,b200,4,512,4.320418891906738,0.11297326058695589,4.3084797859191895,4.318719863891602,100,False,606.149632,NVIDIA B200,191.5,148,eager,modal,13.0,580.95.05,2.11.0+cu130,2026-04-17T21:21:13+00:00
gpt2-small,b200,4,1024,10.1348876953125,0.020075198275511272,10.132512092590332,10.146112442016602,100,False,928.410624,NVIDIA B200,191.5,148,eager,modal,13.0,580.95.05,2.11.0+cu130,2026-04-17T21:21:14+00:00
