model_name,gpu,batch_size,seq_len,mean_ms,std_ms,p50_ms,p95_ms,n_runs,noisy,peak_memory_mb,actual_gpu_name,actual_mem_gb,actual_sm_count,attn_impl,mode,platform,cuda_version,driver_version,torch_version,timestamp
gpt2-small,b200,1,32,2.2776342368125917,0.2308196187122381,2.2392001152038574,2.3635520935058594,100,True,288.550912,NVIDIA B200,191.5,148,eager,decode,modal,13.0,580.95.05,2.11.0+cu130,2026-04-29T21:30:35+00:00
gpt2-small,b200,1,64,2.270344955921173,0.12474026717915665,2.249119997024536,2.3196799755096436,100,True,298.195456,NVIDIA B200,191.5,148,eager,decode,modal,13.0,580.95.05,2.11.0+cu130,2026-04-29T21:30:42+00:00
gpt2-small,b200,1,128,2.251904320716858,0.010791153308127696,2.2504959106445312,2.269023895263672,100,False,310.526976,NVIDIA B200,191.5,148,eager,decode,modal,13.0,580.95.05,2.11.0+cu130,2026-04-29T21:30:43+00:00
gpt2-small,b200,1,256,2.3624470472335815,0.01543278978099419,2.3626880645751953,2.3914880752563477,100,False,336.10752,NVIDIA B200,191.5,148,eager,decode,modal,13.0,580.95.05,2.11.0+cu130,2026-04-29T21:30:44+00:00
gpt2-small,b200,1,512,2.3963625693321227,0.014544630768905265,2.3960320949554443,2.424607992172241,100,False,385.434112,NVIDIA B200,191.5,148,eager,decode,modal,13.0,580.95.05,2.11.0+cu130,2026-04-29T21:30:45+00:00
gpt2-small,b200,2,32,2.301271364688873,0.033139276559966645,2.3095040321350098,2.3527040481567383,100,False,298.334208,NVIDIA B200,191.5,148,eager,decode,modal,13.0,580.95.05,2.11.0+cu130,2026-04-29T21:30:46+00:00
gpt2-small,b200,2,64,2.446247682571411,0.015797435715089507,2.4457600116729736,2.4692800045013428,100,False,310.665728,NVIDIA B200,191.5,148,eager,decode,modal,13.0,580.95.05,2.11.0+cu130,2026-04-29T21:30:46+00:00
gpt2-small,b200,2,128,2.4390886425971985,0.020355951300130237,2.4355199337005615,2.474656105041504,100,False,336.246272,NVIDIA B200,191.5,148,eager,decode,modal,13.0,580.95.05,2.11.0+cu130,2026-04-29T21:30:47+00:00
gpt2-small,b200,2,256,2.496932475566864,0.025711625892957377,2.4968318939208984,2.525984048843384,100,False,385.572864,NVIDIA B200,191.5,148,eager,decode,modal,13.0,580.95.05,2.11.0+cu130,2026-04-29T21:30:48+00:00
gpt2-small,b200,2,512,2.4735849595069883,0.019399247154360654,2.4711039066314697,2.5146560668945312,100,False,485.512192,NVIDIA B200,191.5,148,eager,decode,modal,13.0,580.95.05,2.11.0+cu130,2026-04-29T21:30:49+00:00
