model_name,gpu,batch_size,seq_len,mean_ms,std_ms,p50_ms,p95_ms,n_runs,noisy,peak_memory_mb,actual_gpu_name,actual_mem_gb,actual_sm_count,attn_impl,mode,platform,cuda_version,driver_version,torch_version,timestamp
gpt2-small,a100,1,32,10.657157115936279,0.19411617004271875,10.653696060180664,11.0448637008667,100,False,288.550912,NVIDIA A100-SXM4-40GB,42.41,108,eager,decode,modal,13.0,580.95.05,2.11.0+cu130,2026-04-29T21:21:32+00:00
gpt2-small,a100,1,64,10.032926712036133,0.2592615097127792,10.043392181396484,10.449919700622559,100,False,298.195456,NVIDIA A100-SXM4-40GB,42.41,108,eager,decode,modal,13.0,580.95.05,2.11.0+cu130,2026-04-29T21:21:49+00:00
gpt2-small,a100,1,128,10.441635828018189,0.5984464727549845,10.379263877868652,11.518976211547852,100,True,308.691968,NVIDIA A100-SXM4-40GB,42.41,108,eager,decode,modal,13.0,580.95.05,2.11.0+cu130,2026-04-29T21:21:52+00:00
gpt2-small,a100,1,256,10.178652153015136,0.2806449104818397,10.209280014038086,10.60863971710205,100,False,334.272512,NVIDIA A100-SXM4-40GB,42.41,108,eager,decode,modal,13.0,580.95.05,2.11.0+cu130,2026-04-29T21:21:54+00:00
gpt2-small,a100,1,512,10.457569274902344,0.32128006352728,10.464256286621094,11.12063980102539,100,False,384.516608,NVIDIA A100-SXM4-40GB,42.41,108,eager,decode,modal,13.0,580.95.05,2.11.0+cu130,2026-04-29T21:21:57+00:00
gpt2-small,a100,2,32,11.06889723777771,0.4063024061027364,11.151359558105469,11.64185619354248,100,False,297.416704,NVIDIA A100-SXM4-40GB,42.41,108,eager,decode,modal,13.0,580.95.05,2.11.0+cu130,2026-04-29T21:22:00+00:00
gpt2-small,a100,2,64,10.734796810150147,0.3488742823012529,10.747903823852539,11.321344375610352,100,False,309.748224,NVIDIA A100-SXM4-40GB,42.41,108,eager,decode,modal,13.0,580.95.05,2.11.0+cu130,2026-04-29T21:22:03+00:00
gpt2-small,a100,2,128,10.98388482093811,0.6377126906421103,11.125760078430176,12.191743850708008,100,True,336.246272,NVIDIA A100-SXM4-40GB,42.41,108,eager,decode,modal,13.0,580.95.05,2.11.0+cu130,2026-04-29T21:22:05+00:00
gpt2-small,a100,2,256,11.259514894485473,0.3049145229540307,11.247615814208984,11.685888290405273,100,False,384.65536,NVIDIA A100-SXM4-40GB,42.41,108,eager,decode,modal,13.0,580.95.05,2.11.0+cu130,2026-04-29T21:22:08+00:00
gpt2-small,a100,2,512,10.496102361679077,0.38538816118870717,10.508288383483887,11.115519523620605,100,False,484.332544,NVIDIA A100-SXM4-40GB,42.41,108,eager,decode,modal,13.0,580.95.05,2.11.0+cu130,2026-04-29T21:22:11+00:00
gpt2-small,a100,3,32,10.034831399917602,0.26114052140801086,9.988096237182617,10.471424102783203,100,False,304.68864,NVIDIA A100-SXM4-40GB,42.41,108,eager,decode,modal,13.0,580.95.05,2.11.0+cu130,2026-04-29T21:22:13+00:00
gpt2-small,a100,3,64,10.695464973449708,0.5295921591141194,10.900480270385742,11.382783889770508,100,False,322.218496,NVIDIA A100-SXM4-40GB,42.41,108,eager,decode,modal,13.0,580.95.05,2.11.0+cu130,2026-04-29T21:22:16+00:00
gpt2-small,a100,3,128,10.065346546173096,0.2725542956252683,10.02086353302002,10.603520393371582,100,False,360.131072,NVIDIA A100-SXM4-40GB,42.41,108,eager,decode,modal,13.0,580.95.05,2.11.0+cu130,2026-04-29T21:22:18+00:00
gpt2-small,a100,3,256,10.090280981063843,0.24366193076168663,10.079232215881348,10.604543685913086,100,False,435.8912,NVIDIA A100-SXM4-40GB,42.41,108,eager,decode,modal,13.0,580.95.05,2.11.0+cu130,2026-04-29T21:22:21+00:00
gpt2-small,a100,3,512,10.504110088348389,0.4375117609483673,10.569727897644043,11.103232383728027,100,False,583.808512,NVIDIA A100-SXM4-40GB,42.41,108,eager,decode,modal,13.0,580.95.05,2.11.0+cu130,2026-04-29T21:22:23+00:00
gpt2-small,a100,4,32,10.134015998840333,0.3091856381110567,10.02905559539795,10.771455764770508,100,False,310.02624,NVIDIA A100-SXM4-40GB,42.41,108,eager,decode,modal,13.0,580.95.05,2.11.0+cu130,2026-04-29T21:22:26+00:00
gpt2-small,a100,4,64,10.01211901664734,0.2128165091654422,9.968640327453613,10.557439804077148,100,False,336.524288,NVIDIA A100-SXM4-40GB,42.41,108,eager,decode,modal,13.0,580.95.05,2.11.0+cu130,2026-04-29T21:22:28+00:00
gpt2-small,a100,4,128,10.199705619812011,0.42744923160231163,10.097663879394531,10.802176475524902,100,False,384.933376,NVIDIA A100-SXM4-40GB,42.41,108,eager,decode,modal,13.0,580.95.05,2.11.0+cu130,2026-04-29T21:22:31+00:00
gpt2-small,a100,4,256,9.788016653060913,0.17199591505460887,9.790464401245117,10.079232215881348,100,False,484.585984,NVIDIA A100-SXM4-40GB,42.41,108,eager,decode,modal,13.0,580.95.05,2.11.0+cu130,2026-04-29T21:22:34+00:00
gpt2-small,a100,4,512,10.276659154891968,0.3791417723386557,10.223615646362305,11.056127548217773,100,False,680.487424,NVIDIA A100-SXM4-40GB,42.41,108,eager,decode,modal,13.0,580.95.05,2.11.0+cu130,2026-04-29T21:22:36+00:00
gpt2-small,a100,6,32,12.85203966140747,5.390562524725868,11.373567581176758,31.169536590576172,100,True,322.635264,NVIDIA A100-SXM4-40GB,42.41,108,eager,decode,modal,13.0,580.95.05,2.11.0+cu130,2026-04-29T21:22:39+00:00
gpt2-small,a100,6,64,11.385507850646972,0.11026230640609247,11.370495796203613,11.556863784790039,100,False,360.54784,NVIDIA A100-SXM4-40GB,42.41,108,eager,decode,modal,13.0,580.95.05,2.11.0+cu130,2026-04-29T21:22:42+00:00
gpt2-small,a100,6,128,14.281175088882446,3.6585106782987347,15.073280334472656,17.459199905395508,100,True,436.215808,NVIDIA A100-SXM4-40GB,42.41,108,eager,decode,modal,13.0,580.95.05,2.11.0+cu130,2026-04-29T21:22:46+00:00
gpt2-small,a100,6,256,14.286448621749878,5.427050418644754,12.043264389038086,22.520832061767578,100,True,584.216064,NVIDIA A100-SXM4-40GB,42.41,108,eager,decode,modal,13.0,580.95.05,2.11.0+cu130,2026-04-29T21:22:49+00:00
gpt2-small,a100,6,512,11.208407020568847,0.3739638072658302,11.180031776428223,11.660287857055664,100,False,877.559296,NVIDIA A100-SXM4-40GB,42.41,108,eager,decode,modal,13.0,580.95.05,2.11.0+cu130,2026-04-29T21:22:53+00:00
