model_name,gpu,batch_size,seq_len,mean_ms,std_ms,p50_ms,p95_ms,n_runs,noisy,peak_memory_mb,actual_gpu_name,actual_mem_gb,actual_sm_count,attn_impl,mode,platform,cuda_version,driver_version,torch_version,timestamp
gpt2-small,l4,1,32,7.0147101068496704,0.13205735373770353,7.003136157989502,7.111680030822754,100,False,288.550912,NVIDIA L4,23.66,58,eager,decode,modal,13.0,580.95.05,2.11.0+cu130,2026-04-29T21:21:41+00:00
gpt2-small,l4,1,64,7.0728729581832885,0.2439276011857152,7.028768062591553,7.317503929138184,100,False,298.195456,NVIDIA L4,23.66,58,eager,decode,modal,13.0,580.95.05,2.11.0+cu130,2026-04-29T21:21:55+00:00
gpt2-small,l4,1,128,7.393938555717468,0.06438079693971305,7.398431777954102,7.497727870941162,100,False,310.526976,NVIDIA L4,23.66,58,eager,decode,modal,13.0,580.95.05,2.11.0+cu130,2026-04-29T21:21:57+00:00
gpt2-small,l4,1,256,7.135212802886963,0.1030427248741472,7.179264068603516,7.287807941436768,100,False,336.10752,NVIDIA L4,23.66,58,eager,decode,modal,13.0,580.95.05,2.11.0+cu130,2026-04-29T21:21:59+00:00
gpt2-small,l4,1,512,7.006854076385498,0.11464130832569262,6.952960014343262,7.160831928253174,100,False,385.434112,NVIDIA L4,23.66,58,eager,decode,modal,13.0,580.95.05,2.11.0+cu130,2026-04-29T21:22:00+00:00
gpt2-small,l4,2,32,7.645646071434021,0.09087534043086817,7.615488052368164,7.848959922790527,100,False,298.334208,NVIDIA L4,23.66,58,eager,decode,modal,13.0,580.95.05,2.11.0+cu130,2026-04-29T21:22:02+00:00
gpt2-small,l4,2,64,7.556332488059997,0.046561883022287684,7.546879768371582,7.628799915313721,100,False,310.665728,NVIDIA L4,23.66,58,eager,decode,modal,13.0,580.95.05,2.11.0+cu130,2026-04-29T21:22:04+00:00
gpt2-small,l4,2,128,7.463609290122986,0.04718923720312296,7.4547200202941895,7.527423858642578,100,False,336.246272,NVIDIA L4,23.66,58,eager,decode,modal,13.0,580.95.05,2.11.0+cu130,2026-04-29T21:22:06+00:00
gpt2-small,l4,2,256,7.512620797157288,0.050636455633559244,7.501823902130127,7.59603214263916,100,False,385.572864,NVIDIA L4,23.66,58,eager,decode,modal,13.0,580.95.05,2.11.0+cu130,2026-04-29T21:22:08+00:00
gpt2-small,l4,2,512,7.50741599559784,0.04759685454065219,7.497727870941162,7.575551986694336,100,False,485.512192,NVIDIA L4,23.66,58,eager,decode,modal,13.0,580.95.05,2.11.0+cu130,2026-04-29T21:22:10+00:00
gpt2-small,l4,3,32,7.591051187515259,0.04767148960777856,7.580671787261963,7.6769280433654785,100,False,305.606144,NVIDIA L4,23.66,58,eager,decode,modal,13.0,580.95.05,2.11.0+cu130,2026-04-29T21:22:12+00:00
gpt2-small,l4,3,64,7.678424015045166,0.07551862368336931,7.6615681648254395,7.790592193603516,100,False,323.136,NVIDIA L4,23.66,58,eager,decode,modal,13.0,580.95.05,2.11.0+cu130,2026-04-29T21:22:14+00:00
