model_name,gpu,batch_size,seq_len,mean_ms,std_ms,p50_ms,p95_ms,n_runs,noisy,peak_memory_mb,actual_gpu_name,actual_mem_gb,actual_sm_count,attn_impl,platform,cuda_version,driver_version,torch_version,timestamp
gpt2-small,h200,1,32,4.148400659561157,0.05570677455679914,4.135359764099121,4.2454400062561035,100,False,311.397888,NVIDIA H200,150.11,132,eager,modal,13.0,580.95.05,2.11.0+cu130,2026-04-17T21:19:24+00:00
gpt2-small,h200,1,64,4.185802874565124,0.04733790685669374,4.168767929077148,4.270112037658691,100,False,317.159424,NVIDIA H200,150.11,132,eager,modal,13.0,580.95.05,2.11.0+cu130,2026-04-17T21:19:33+00:00
gpt2-small,h200,1,128,4.195167684555054,0.04556133319202577,4.183231830596924,4.270880222320557,100,False,326.312448,NVIDIA H200,150.11,132,eager,modal,13.0,580.95.05,2.11.0+cu130,2026-04-17T21:19:34+00:00
gpt2-small,h200,1,256,4.107133436203003,0.064092107735177,4.0939202308654785,4.1972479820251465,100,False,347.371008,NVIDIA H200,150.11,132,eager,modal,13.0,580.95.05,2.11.0+cu130,2026-04-17T21:19:35+00:00
gpt2-small,h200,1,512,4.135348792076111,0.08118525448797166,4.111584186553955,4.249407768249512,100,False,386.736128,NVIDIA H200,150.11,132,eager,modal,13.0,580.95.05,2.11.0+cu130,2026-04-17T21:19:36+00:00
gpt2-small,h200,1,1024,4.125949773788452,0.11488468150932467,4.118624210357666,4.215487957000732,100,False,467.301376,NVIDIA H200,150.11,132,eager,modal,13.0,580.95.05,2.11.0+cu130,2026-04-17T21:19:37+00:00
gpt2-small,h200,2,32,4.368287992477417,0.05109773850408518,4.356736183166504,4.450431823730469,100,False,316.24192,NVIDIA H200,150.11,132,eager,modal,13.0,580.95.05,2.11.0+cu130,2026-04-17T21:19:37+00:00
gpt2-small,h200,2,64,4.478255052566528,0.1188828617425739,4.4650559425354,4.575104236602783,100,False,326.312448,NVIDIA H200,150.11,132,eager,modal,13.0,580.95.05,2.11.0+cu130,2026-04-17T21:19:38+00:00
gpt2-small,h200,2,128,4.307474546432495,0.0506127926588677,4.294943809509277,4.387775897979736,100,False,347.371008,NVIDIA H200,150.11,132,eager,modal,13.0,580.95.05,2.11.0+cu130,2026-04-17T21:19:39+00:00
gpt2-small,h200,2,256,4.377066240310669,0.07588178820349957,4.36732816696167,4.504735946655273,100,False,386.736128,NVIDIA H200,150.11,132,eager,modal,13.0,580.95.05,2.11.0+cu130,2026-04-17T21:19:40+00:00
gpt2-small,h200,2,512,4.414200968742371,0.10488494189622134,4.395936012268066,4.480991840362549,100,False,467.301376,NVIDIA H200,150.11,132,eager,modal,13.0,580.95.05,2.11.0+cu130,2026-04-17T21:19:41+00:00
gpt2-small,h200,2,1024,6.934440636634827,0.032738225737708834,6.931456089019775,6.940864086151123,100,False,628.431872,NVIDIA H200,150.11,132,eager,modal,13.0,580.95.05,2.11.0+cu130,2026-04-17T21:19:42+00:00
gpt2-small,h200,3,32,4.44441439628601,0.05718823977640446,4.434080123901367,4.523263931274414,100,False,321.27744,NVIDIA H200,150.11,132,eager,modal,13.0,580.95.05,2.11.0+cu130,2026-04-17T21:19:43+00:00
gpt2-small,h200,3,64,4.383680005073547,0.06045558515317815,4.372096061706543,4.456543922424316,100,False,336.382976,NVIDIA H200,150.11,132,eager,modal,13.0,580.95.05,2.11.0+cu130,2026-04-17T21:19:44+00:00
gpt2-small,h200,3,128,4.356338219642639,0.05696244999143496,4.343679904937744,4.429887771606445,100,False,368.1024,NVIDIA H200,150.11,132,eager,modal,13.0,580.95.05,2.11.0+cu130,2026-04-17T21:19:45+00:00
gpt2-small,h200,3,256,4.4226179122924805,0.07235189875413711,4.409088134765625,4.487199783325195,100,False,427.936256,NVIDIA H200,150.11,132,eager,modal,13.0,580.95.05,2.11.0+cu130,2026-04-17T21:19:46+00:00
gpt2-small,h200,3,512,4.441586542129516,0.13203720539311423,4.424895763397217,4.499551773071289,100,False,548.666368,NVIDIA H200,150.11,132,eager,modal,13.0,580.95.05,2.11.0+cu130,2026-04-17T21:19:47+00:00
gpt2-small,h200,3,1024,9.663918066024781,0.018307334535357878,9.661375999450684,9.678239822387695,100,False,789.562368,NVIDIA H200,150.11,132,eager,modal,13.0,580.95.05,2.11.0+cu130,2026-04-17T21:19:48+00:00
