model_name,gpu,batch_size,seq_len,mean_ms,std_ms,p50_ms,p95_ms,n_runs,noisy,peak_memory_mb,actual_gpu_name,actual_mem_gb,actual_sm_count,attn_impl,platform,cuda_version,driver_version,torch_version,timestamp
gpt2-small,l4,1,32,7.304843816757202,0.16684657231414846,7.260159969329834,7.643136024475098,100,False,287.28064,NVIDIA L4,23.66,58,eager,modal,13.0,580.95.05,2.11.0+cu130,2026-04-17T21:19:25+00:00
gpt2-small,l4,1,64,7.366076474189758,0.15995032587344554,7.312384128570557,7.666687965393066,100,False,295.794688,NVIDIA L4,23.66,58,eager,modal,13.0,580.95.05,2.11.0+cu130,2026-04-17T21:19:37+00:00
gpt2-small,l4,1,128,7.46023455619812,0.20615876111567716,7.411712169647217,7.8397440910339355,100,False,305.865216,NVIDIA L4,23.66,58,eager,modal,13.0,580.95.05,2.11.0+cu130,2026-04-17T21:19:38+00:00
gpt2-small,l4,1,256,7.313076806068421,0.11264600358576703,7.28985595703125,7.553023815155029,100,False,326.923776,NVIDIA L4,23.66,58,eager,modal,13.0,580.95.05,2.11.0+cu130,2026-04-17T21:19:40+00:00
gpt2-small,l4,1,512,7.35134560585022,0.205931637238811,7.344128131866455,7.572480201721191,100,False,367.2064,NVIDIA L4,23.66,58,eager,modal,13.0,580.95.05,2.11.0+cu130,2026-04-17T21:19:41+00:00
gpt2-small,l4,1,1024,16.113941078186034,0.28465259337046717,16.04300880432129,16.582656860351562,100,False,446.854144,NVIDIA L4,23.66,58,eager,modal,13.0,580.95.05,2.11.0+cu130,2026-04-17T21:19:42+00:00
gpt2-small,l4,2,32,7.679133777618408,0.08518875567074892,7.668735980987549,7.835648059844971,100,False,295.794688,NVIDIA L4,23.66,58,eager,modal,13.0,580.95.05,2.11.0+cu130,2026-04-17T21:19:45+00:00
gpt2-small,l4,2,64,7.895910053253174,0.08910858701850882,7.870463848114014,8.052736282348633,100,False,305.865216,NVIDIA L4,23.66,58,eager,modal,13.0,580.95.05,2.11.0+cu130,2026-04-17T21:19:46+00:00
gpt2-small,l4,2,128,7.639549746513366,0.08269703205124526,7.621632099151611,7.782400131225586,100,False,326.923776,NVIDIA L4,23.66,58,eager,modal,13.0,580.95.05,2.11.0+cu130,2026-04-17T21:19:48+00:00
gpt2-small,l4,2,256,7.669245119094849,0.21281813237780056,7.588863849639893,8.092672348022461,100,False,367.2064,NVIDIA L4,23.66,58,eager,modal,13.0,580.95.05,2.11.0+cu130,2026-04-17T21:19:49+00:00
