model_name,gpu,batch_size,seq_len,mean_ms,std_ms,p50_ms,p95_ms,n_runs,noisy,peak_memory_mb,actual_gpu_name,actual_mem_gb,actual_sm_count,attn_impl,platform,cuda_version,driver_version,torch_version,timestamp
gpt2-small,t4,1,32,7.80162561416626,0.12296006473987066,7.773600101470947,8.059455871582031,100,False,287.28064,Tesla T4,15.64,40,eager,modal,13.0,580.95.05,2.11.0+cu130,2026-04-17T22:21:06+00:00
gpt2-small,t4,1,64,7.932658882141113,0.15161475369031693,7.926464080810547,8.249759674072266,100,False,295.794688,Tesla T4,15.64,40,eager,modal,13.0,580.95.05,2.11.0+cu130,2026-04-17T22:21:18+00:00
gpt2-small,t4,1,128,7.8619465732574465,0.1200176012650544,7.864704132080078,8.019200325012207,100,False,305.865216,Tesla T4,15.64,40,eager,modal,13.0,580.95.05,2.11.0+cu130,2026-04-17T22:21:20+00:00
gpt2-small,t4,1,256,8.059553003311157,0.2806967854481184,7.983104228973389,8.493056297302246,100,False,326.923776,Tesla T4,15.64,40,eager,modal,13.0,580.95.05,2.11.0+cu130,2026-04-17T22:21:22+00:00
gpt2-small,t4,1,512,13.479229154586791,0.14774153879723415,13.465951919555664,13.649375915527344,100,False,367.2064,Tesla T4,15.64,40,eager,modal,13.0,580.95.05,2.11.0+cu130,2026-04-17T22:21:23+00:00
gpt2-small,t4,1,1024,33.02857753753662,0.11671745214245662,33.07347106933594,33.20569610595703,100,False,446.854144,Tesla T4,15.64,40,eager,modal,13.0,580.95.05,2.11.0+cu130,2026-04-17T22:21:26+00:00
gpt2-small,t4,2,32,8.664030084609985,0.713857437989389,8.50870418548584,10.619232177734375,100,True,295.794688,Tesla T4,15.64,40,eager,modal,13.0,580.95.05,2.11.0+cu130,2026-04-17T22:21:31+00:00
gpt2-small,t4,2,64,9.235385599136352,1.7636052822724166,8.722047805786133,11.451359748840332,100,True,305.865216,Tesla T4,15.64,40,eager,modal,13.0,580.95.05,2.11.0+cu130,2026-04-17T22:21:33+00:00
gpt2-small,t4,2,128,8.695144300460816,0.22140201969493853,8.706239700317383,8.950048446655273,100,False,326.923776,Tesla T4,15.64,40,eager,modal,13.0,580.95.05,2.11.0+cu130,2026-04-17T22:21:35+00:00
gpt2-small,t4,2,256,12.339568576812745,0.1314552761796798,12.396479606628418,12.467935562133789,100,False,367.2064,Tesla T4,15.64,40,eager,modal,13.0,580.95.05,2.11.0+cu130,2026-04-17T22:21:37+00:00
gpt2-small,t4,2,512,27.366463680267334,0.22647991848068225,27.410432815551758,27.779264450073242,100,False,446.854144,Tesla T4,15.64,40,eager,modal,13.0,580.95.05,2.11.0+cu130,2026-04-17T22:21:39+00:00
gpt2-small,t4,2,1024,66.82630027770996,0.3101227657319669,66.74432373046875,67.3653793334961,100,False,607.98464,Tesla T4,15.64,40,eager,modal,13.0,580.95.05,2.11.0+cu130,2026-04-17T22:21:44+00:00
gpt2-small,t4,3,32,8.327918758392334,0.17270023546949537,8.311615943908691,8.625791549682617,100,False,301.797376,Tesla T4,15.64,40,eager,modal,13.0,580.95.05,2.11.0+cu130,2026-04-17T22:21:54+00:00
gpt2-small,t4,3,64,8.582527370452881,0.6629918982540597,8.323360443115234,9.962495803833008,100,True,315.935744,Tesla T4,15.64,40,eager,modal,13.0,580.95.05,2.11.0+cu130,2026-04-17T22:21:56+00:00
gpt2-small,t4,3,128,8.600403833389283,0.28455757875908205,8.63753604888916,8.755264282226562,100,False,347.327488,Tesla T4,15.64,40,eager,modal,13.0,580.95.05,2.11.0+cu130,2026-04-17T22:21:58+00:00
gpt2-small,t4,3,256,18.148306827545166,0.11870739537383322,18.1331844329834,18.322816848754883,100,False,406.57152,Tesla T4,15.64,40,eager,modal,13.0,580.95.05,2.11.0+cu130,2026-04-17T22:22:00+00:00
gpt2-small,t4,3,512,40.54305023193359,0.282504898018571,40.549407958984375,40.942848205566406,100,False,528.219136,Tesla T4,15.64,40,eager,modal,13.0,580.95.05,2.11.0+cu130,2026-04-17T22:22:03+00:00
gpt2-small,t4,3,1024,100.46516006469727,0.6705724736404131,100.5854721069336,101.51321411132812,100,False,769.115136,Tesla T4,15.64,40,eager,modal,13.0,580.95.05,2.11.0+cu130,2026-04-17T22:22:10+00:00
gpt2-small,t4,4,32,9.067192993164063,0.1494899051806413,9.0863676071167,9.271072387695312,100,False,305.865216,Tesla T4,15.64,40,eager,modal,13.0,580.95.05,2.11.0+cu130,2026-04-17T22:22:25+00:00
gpt2-small,t4,4,64,10.166791038513184,2.0436121459107426,9.596991539001465,12.581184387207031,100,True,326.923776,Tesla T4,15.64,40,eager,modal,13.0,580.95.05,2.11.0+cu130,2026-04-17T22:22:27+00:00
gpt2-small,t4,4,128,11.692252140045166,0.49891638491342327,11.602656364440918,11.784192085266113,100,False,367.2064,Tesla T4,15.64,40,eager,modal,13.0,580.95.05,2.11.0+cu130,2026-04-17T22:22:29+00:00
gpt2-small,t4,4,256,24.45765920639038,0.2081423594721572,24.448383331298828,24.837120056152344,100,False,446.854144,Tesla T4,15.64,40,eager,modal,13.0,580.95.05,2.11.0+cu130,2026-04-17T22:22:31+00:00
gpt2-small,t4,4,512,55.32570083618164,0.2609246990740749,55.3389778137207,55.7639045715332,100,False,607.98464,Tesla T4,15.64,40,eager,modal,13.0,580.95.05,2.11.0+cu130,2026-04-17T22:22:35+00:00
gpt2-small,t4,4,1024,134.5541911315918,0.6095772191684893,134.6378936767578,135.5828857421875,100,False,930.245632,Tesla T4,15.64,40,eager,modal,13.0,580.95.05,2.11.0+cu130,2026-04-17T22:22:44+00:00
gpt2-small,t4,6,32,9.150826902389527,0.7818059165788874,8.982687950134277,10.007424354553223,100,True,315.935744,Tesla T4,15.64,40,eager,modal,13.0,580.95.05,2.11.0+cu130,2026-04-17T22:23:05+00:00
gpt2-small,t4,6,64,9.223343982696534,0.5221575264286746,9.117055892944336,9.5415678024292,100,True,347.327488,Tesla T4,15.64,40,eager,modal,13.0,580.95.05,2.11.0+cu130,2026-04-17T22:23:07+00:00
gpt2-small,t4,6,128,17.090865020751952,0.11037506051181495,17.07935905456543,17.303455352783203,100,False,406.57152,Tesla T4,15.64,40,eager,modal,13.0,580.95.05,2.11.0+cu130,2026-04-17T22:23:09+00:00
gpt2-small,t4,6,256,36.32999229431152,0.18959344502436606,36.353919982910156,36.563873291015625,100,False,528.219136,Tesla T4,15.64,40,eager,modal,13.0,580.95.05,2.11.0+cu130,2026-04-17T22:23:12+00:00
gpt2-small,t4,6,512,82.58785552978516,0.418444715360926,82.61068725585938,83.52076721191406,100,False,769.115136,Tesla T4,15.64,40,eager,modal,13.0,580.95.05,2.11.0+cu130,2026-04-17T22:23:18+00:00
gpt2-small,t4,6,1024,201.2336898803711,0.820405898347344,201.33888244628906,202.4372100830078,100,False,1252.506624,Tesla T4,15.64,40,eager,modal,13.0,580.95.05,2.11.0+cu130,2026-04-17T22:23:31+00:00
gpt2-small,t4,8,32,8.963391342163085,0.21723070161234684,8.947711944580078,9.099616050720215,100,False,326.923776,Tesla T4,15.64,40,eager,modal,13.0,580.95.05,2.11.0+cu130,2026-04-17T22:24:02+00:00
gpt2-small,t4,8,64,11.498917179107666,0.17166886125234695,11.497471809387207,11.655136108398438,100,False,367.2064,Tesla T4,15.64,40,eager,modal,13.0,580.95.05,2.11.0+cu130,2026-04-17T22:24:04+00:00
gpt2-small,t4,8,128,23.13095645904541,0.1975524427369237,23.200767517089844,23.374879837036133,100,False,446.985216,Tesla T4,15.64,40,eager,modal,13.0,580.95.05,2.11.0+cu130,2026-04-17T22:24:07+00:00
gpt2-small,t4,8,256,49.32817207336426,0.37669325325212677,49.344032287597656,49.870784759521484,100,False,607.98464,Tesla T4,15.64,40,eager,modal,13.0,580.95.05,2.11.0+cu130,2026-04-17T22:24:11+00:00
gpt2-small,t4,8,512,110.35402824401855,0.9102198811180472,110.60428619384766,111.55481719970703,100,False,930.245632,Tesla T4,15.64,40,eager,modal,13.0,580.95.05,2.11.0+cu130,2026-04-17T22:24:19+00:00
gpt2-small,t4,8,1024,268.2894140625,0.6035643375280275,268.2388610839844,269.4369201660156,100,False,1575.537664,Tesla T4,15.64,40,eager,modal,13.0,580.95.05,2.11.0+cu130,2026-04-17T22:24:36+00:00
gpt2-small,t4,12,32,9.193518419265747,0.5791055392061902,9.055551528930664,10.300607681274414,100,True,347.327488,Tesla T4,15.64,40,eager,modal,13.0,580.95.05,2.11.0+cu130,2026-04-17T22:25:17+00:00
gpt2-small,t4,12,64,16.844250621795656,0.14641571256529512,16.802047729492188,16.986112594604492,100,False,406.57152,Tesla T4,15.64,40,eager,modal,13.0,580.95.05,2.11.0+cu130,2026-04-17T22:25:19+00:00
gpt2-small,t4,12,128,34.20621154785156,0.16257901071942224,34.141822814941406,34.502750396728516,100,False,528.219136,Tesla T4,15.64,40,eager,modal,13.0,580.95.05,2.11.0+cu130,2026-04-17T22:25:22+00:00
gpt2-small,t4,12,256,73.43588066101074,0.47858863770621796,73.45862579345703,74.31910705566406,100,False,769.115136,Tesla T4,15.64,40,eager,modal,13.0,580.95.05,2.11.0+cu130,2026-04-17T22:25:28+00:00
gpt2-small,t4,12,512,163.75202239990233,0.7726556008226392,163.66387939453125,165.65065002441406,100,False,1252.506624,Tesla T4,15.64,40,eager,modal,13.0,580.95.05,2.11.0+cu130,2026-04-17T22:25:40+00:00
